Designator,Mid X,Mid Y,Layer,Rotation
C1,18.600mm,11.100mm,Top,-90.000000
C3,15.500mm,25.200mm,Top,0.000000
C5,65.000mm,40.500mm,Top,0.000000
C6,66.000mm,34.500mm,Top,90.000000
C7,61.500mm,37.500mm,Top,90.000000
C10,27.300mm,6.800mm,Top,-90.000000
C11,30.600mm,6.800mm,Top,-90.000000
C12,33.600mm,6.300mm,Top,-90.000000
C13,37.400mm,14.200mm,Top,0.000000
C14,45.500mm,8.000mm,Top,-90.000000
C15,47.500mm,8.000mm,Top,-90.000000
D1,15.500mm,6.200mm,Top,-90.000000
D2,21.700mm,7.500mm,Top,180.000000
D3,60.000mm,16.000mm,Top,90.000000
F1,10.600mm,8.000mm,Top,0.000000
J1,0.000mm,26.000mm,Top,0.000000
J3,66.500mm,2.100mm,Top,0.000000
J4,10.000mm,33.000mm,Top,90.000000
L1,40.300mm,10.000mm,Top,0.000000
LED1,24.000mm,40.000mm,Top,0.000000
LED2,83.000mm,9.500mm,Top,180.000000
R1,9.000mm,17.500mm,Top,90.000000
R2,12.000mm,23.000mm,Top,0.000000
R3,15.500mm,23.000mm,Top,0.000000
R4,64.500mm,38.000mm,Top,0.000000
R5,63.000mm,12.600mm,Top,-90.000000
R6,70.000mm,12.600mm,Top,-90.000000
R7,24.000mm,37.500mm,Top,0.000000
R8,79.500mm,9.500mm,Top,0.000000
R9,66.000mm,20.500mm,Top,0.000000
R10,29.500mm,14.000mm,Top,0.000000
R11,32.500mm,14.000mm,Top,0.000000
R12,29.500mm,11.800mm,Top,0.000000
SW1,47.500mm,46.000mm,Top,0.000000
SW2,77.500mm,17.000mm,Top,0.000000
U1,16.500mm,16.500mm,Top,90.000000
U2,34.400mm,10.000mm,Top,0.000000
U3,77.000mm,36.900mm,Top,0.000000
